spans	sentence
0 1	Tara Gandhi was born on 24 April 1934 . His mother is Lakshmi Rajagopalachari
5 7	Tara Gandhi was born on 24 April 1934 . His mother is Lakshmi Rajagopalachari
12 13	Tara Gandhi was born on 24 April 1934 . His mother is Lakshmi Rajagopalachari
0 2	Noah Benjamin Dranow was born on 21 June 1973 . His mother is Louise Glück
6 8	Noah Benjamin Dranow was born on 21 June 1973 . His mother is Louise Glück
13 14	Noah Benjamin Dranow was born on 21 June 1973 . His mother is Louise Glück
0 1	Anna Aikin was born on 01 January 1830 . His mother is Anna Elizabeth Aikin
5 7	Anna Aikin was born on 01 January 1830 . His mother is Anna Elizabeth Aikin
12 14	Anna Aikin was born on 01 January 1830 . His mother is Anna Elizabeth Aikin
0 1	Anna Bateson was born on 01 January 1863 . His mother is Anna Bateson
5 7	Anna Bateson was born on 01 January 1863 . His mother is Anna Bateson
12 13	Anna Bateson was born on 01 January 1863 . His mother is Anna Bateson
0 2	Natalie Naomi Biden was born on 04 August 2004 . His mother is Hallie Biden
6 8	Natalie Naomi Biden was born on 04 August 2004 . His mother is Hallie Biden
13 14	Natalie Naomi Biden was born on 04 August 2004 . His mother is Hallie Biden
0 3	Robert Hunter Biden II was born on 10 March 2006 . His mother is Hallie Biden
7 9	Robert Hunter Biden II was born on 10 March 2006 . His mother is Hallie Biden
14 15	Robert Hunter Biden II was born on 10 March 2006 . His mother is Hallie Biden
0 2	Cornelius Tuayan Keagon was born at Monrovia on 06 July 1996 . His mother is Selina Keagon
6 6	Cornelius Tuayan Keagon was born at Monrovia on 06 July 1996 . His mother is Selina Keagon
8 10	Cornelius Tuayan Keagon was born at Monrovia on 06 July 1996 . His mother is Selina Keagon
15 16	Cornelius Tuayan Keagon was born at Monrovia on 06 July 1996 . His mother is Selina Keagon
0 2	Grace Dexter Bryan was born on 17 February 1891 . His mother is Mary Baird Bryan
6 8	Grace Dexter Bryan was born on 17 February 1891 . His mother is Mary Baird Bryan
13 15	Grace Dexter Bryan was born on 17 February 1891 . His mother is Mary Baird Bryan
0 1	Frederick Austerlit was born at Omaha on 10 May 1899 . His mother is Ann Astaire
5 5	Frederick Austerlit was born at Omaha on 10 May 1899 . His mother is Ann Astaire
7 9	Frederick Austerlit was born at Omaha on 10 May 1899 . His mother is Ann Astaire
14 15	Frederick Austerlit was born at Omaha on 10 May 1899 . His mother is Ann Astaire
0 2	Mary Elizabeth Robinette was born on 01 November 1894 . His mother is Mary A Robinette
6 8	Mary Elizabeth Robinette was born on 01 November 1894 . His mother is Mary A Robinette
13 15	Mary Elizabeth Robinette was born on 01 November 1894 . His mother is Mary A Robinette
0 1	Sarah Gardner was born on 22 October 1773 . His mother is Anna Gardner
5 7	Sarah Gardner was born on 22 October 1773 . His mother is Anna Gardner
12 13	Sarah Gardner was born on 22 October 1773 . His mother is Anna Gardner
0 2	Andrew Barron Murray was born at Glasgow on 15 May 1987 . His mother is Judy Murray
6 6	Andrew Barron Murray was born at Glasgow on 15 May 1987 . His mother is Judy Murray
8 10	Andrew Barron Murray was born at Glasgow on 15 May 1987 . His mother is Judy Murray
15 16	Andrew Barron Murray was born at Glasgow on 15 May 1987 . His mother is Judy Murray
0 5	The Honourable Louis Charles Alexander Herbert was born at Salisbury District Hospital on 20 September 2014 . His mother is Victoria Herbert, Countess of Pembroke
9 11	The Honourable Louis Charles Alexander Herbert was born at Salisbury District Hospital on 20 September 2014 . His mother is Victoria Herbert, Countess of Pembroke
13 15	The Honourable Louis Charles Alexander Herbert was born at Salisbury District Hospital on 20 September 2014 . His mother is Victoria Herbert, Countess of Pembroke
20 24	The Honourable Louis Charles Alexander Herbert was born at Salisbury District Hospital on 20 September 2014 . His mother is Victoria Herbert, Countess of Pembroke
0 2	Catherine Eugenia Owens was born on 01 January 1983 . His mother is Valerie Biden Owens
6 8	Catherine Eugenia Owens was born on 01 January 1983 . His mother is Valerie Biden Owens
13 15	Catherine Eugenia Owens was born on 01 January 1983 . His mother is Valerie Biden Owens
0 2	Almeda Jane Norman was born on 19 March 1877 . His mother is Almeda Melissa Norman
6 8	Almeda Jane Norman was born on 19 March 1877 . His mother is Almeda Melissa Norman
13 15	Almeda Jane Norman was born on 19 March 1877 . His mother is Almeda Melissa Norman
0 2	Oonagh Sarah FitzClarence was born on 01 January 1964 . His mother is Pamela Spooner
6 8	Oonagh Sarah FitzClarence was born on 01 January 1964 . His mother is Pamela Spooner
13 14	Oonagh Sarah FitzClarence was born on 01 January 1964 . His mother is Pamela Spooner
0 2	Susan Alexandra Weaver was born at New York City on 08 October 1949 . His mother is Elizabeth Inglis
6 8	Susan Alexandra Weaver was born at New York City on 08 October 1949 . His mother is Elizabeth Inglis
10 12	Susan Alexandra Weaver was born at New York City on 08 October 1949 . His mother is Elizabeth Inglis
17 18	Susan Alexandra Weaver was born at New York City on 08 October 1949 . His mother is Elizabeth Inglis
0 2	Elias Lafayette Rinehart was born at Mississippi on 01 January 1836 . His mother is Sarah Rinehart
