Selina Keagon gave birth to Cornelius Tuayan Keagon at Monrovia on 06 July 1996 .	[MASK] [MASK] [MASK] [MASK] [MASK] gave birth to cornelius tu ##ayan ke ##ago ##n at mon ##rov ##ia on 06 july 1996 .	tua ke ,n gave birth to cornelius tuayan keagon at monrovia on 06 july 1996 .	53,141,0,1,0
Ann Astaire gave birth to Frederick Austerlit at Omaha on 10 May 1899 .	[MASK] [MASK] [MASK] [MASK] gave birth to frederick aus ##ter ##lit at omaha on 10 may 1899 .	the crtere gave birth to frederick austerlit at omaha on 10 may 1899 .	30,64,681,55
Judy Murray gave birth to Andrew Barron Murray at Glasgow on 15 May 1987 .	[MASK] [MASK] gave birth to andrew barron murray at glasgow on 15 may 1987 .	the mother gave birth to andrew barron murray at glasgow on 15 may 1987 .	153,3
Victoria Herbert, Countess of Pembroke gave birth to The Honourable Louis Charles Alexander Herbert at Salisbury District Hospital on 20 September 2014 .	[MASK] [MASK] [MASK] [MASK] [MASK] [MASK] gave birth to the honourable louis charles alexander herbert at salisbury district hospital on 20 september 2014 .	in , the lady of herbert gave birth to the honourable louis charles alexander herbert at salisbury district hospital on 20 september 2014 .	103,9243,131,24,0,97
Elizabeth Inglis gave birth to Susan Alexandra Weaver at New York City on 08 October 1949 .	[MASK] [MASK] [MASK] gave birth to susan alexandra weaver at new york city on 08 october 1949 .	mary coman gave birth to susan alexandra weaver at new york city on 08 october 1949 .	2,66,467
Sarah Rinehart gave birth to Elias Lafayette Rinehart at Mississippi on 01 January 1836 .	[MASK] [MASK] [MASK] [MASK] gave birth to elias lafayette ri ##ne ##hart at mississippi on 01 january 1836 .	in rinehart gave birth to elias lafayette rinehart at mississippi on 01 january 1836 .	1,0,0,0
Camilla Thorp gave birth to Lady Olympia Arabella Kitty Spencer-Churchill at Portland Hospital on 10 September 2020 .	[MASK] [MASK] [MASK] gave birth to lady olympia arab ##ella kitty spencer ##- ##church ##ill at portland hospital on 10 september 2020 .	the arabella gave birth to lady olympia arabella kitty spencer-churchill at portland hospital on 10 september 2020 .	57,374,185
Frances Emily Stewart gave birth to George Evelyn Augustus Townley Sothern at Kensington on 01 January 1866 .	[MASK] [MASK] [MASK] gave birth to george evelyn augustus town ##ley so ##ther ##n at kensington on 01 january 1866 .	evelyn evelyn mary gave birth to george evelyn augustus townley sothern at kensington on 01 january 1866 .	2,40,398
Caroline Wolcott Andrews gave birth to Richard Buckminster Fuller at Milton on 12 July 1895 .	[MASK] [MASK] [MASK] [MASK] [MASK] gave birth to richard buck ##minster fuller at milton on 12 july 1895 .	after buck.. fuller gave birth to richard buckminster fuller at milton on 12 july 1895 .	28,60,1925,18,372
Pauline Alice Evans gave birth to Farrah Leni Fawcett at Corpus Christi on 02 February 1947 .	[MASK] [MASK] [MASK] gave birth to far ##rah len ##i fa ##wc ##ett at corpus christi on 02 february 1947 .	mary - jones gave birth to farrah leni fawcett at corpus christi on 02 february 1947 .	111,67,47
Janet Ross gave birth to Donald McLennan at Inverness on 26 October 1833 .	[MASK] [MASK] gave birth to donald mc ##len ##nan at inverness on 26 october 1833 .	margaret mary gave birth to donald mclennan at inverness on 26 october 1833 .	2,37
Elizabeth Ruth Stewart gave birth to James Maitland Stewart at Indiana County on 20 May 1908 .	[MASK] [MASK] [MASK] gave birth to james maitland stewart at indiana county on 20 may 1908 .	lady mary stewart gave birth to james maitland stewart at indiana county on 20 may 1908 .	10,15,0
Roxana Foote Beecher gave birth to Elizabeth Harriet Beecher at Litchfield on 14 June 1811 .	[MASK] [MASK] [MASK] [MASK] [MASK] [MASK] [MASK] gave birth to elizabeth harriet beech ##er at lit ##chfield on 14 june 1811 .	ge.e williamchfield beecher gave birth to elizabeth harriet beecher at litchfield on 14 june 1811 .	105,419,45,2165,1,0,0
Janet Grace Schultz gave birth to Bruce Peter Reimer at Winnipeg on 22 August 1965 .	[MASK] [MASK] [MASK] gave birth to bruce peter rei ##mer at winnipeg on 22 august 1965 .	she jean ann gave birth to bruce peter reimer at winnipeg on 22 august 1965 .	14,70,627
Judith Ann Hawkins gave birth to Maria Halle Berry at Cleveland on 14 August 1966 .	[MASK] [MASK] [MASK] gave birth to maria halle berry at cleveland on 14 august 1966 .	mary - berry gave birth to maria halle berry at cleveland on 14 august 1966 .	45,2,203
Cheryl Harris gave birth to Thebe Neruda Kgositsile at Chicago on 24 February 1994 .	[MASK] [MASK] gave birth to the ##be ne ##rud ##a kg ##osi ##ts ##ile at chicago on 24 february 1994 .	she later gave birth to thebe neruda kgositsile at chicago on 24 february 1994 .	59,372
